
##### Test execution environment.
# GOARCH: amd64
# CPU: 12th Gen Intel(R) Core(TM) i3-12100F
# GOOS: linux
# OS Version: Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64

##### Testing packages.
?   	internal/coverage/calloc	[no test files]
ok  	internal/coverage/cfile	4.151s
ok  	internal/coverage/cformat	0.026s
ok  	internal/coverage/cmerge	0.012s
?   	internal/coverage/decodecounter	[no test files]
?   	internal/coverage/decodemeta	[no test files]
?   	internal/coverage/encodecounter	[no test files]
?   	internal/coverage/encodemeta	[no test files]
ok  	internal/coverage/pods	0.017s
?   	internal/coverage/rtcov	[no test files]
ok  	internal/coverage/slicereader	0.028s
ok  	internal/coverage/slicewriter	0.015s
?   	internal/coverage/stringtab	[no test files]
ok  	internal/coverage/test	0.037s
?   	internal/coverage/uleb128	[no test files]
ok  	internal/cpu	0.137s
ok  	internal/dag	0.020s
ok  	internal/diff	0.025s
?   	internal/exportdata	[no test files]
?   	internal/filepathlite	[no test files]
ok  	internal/fmtsort	0.019s
ok  	internal/fuzz	0.039s
ok  	internal/gate	0.033s
?   	internal/goarch	[no test files]
ok  	internal/godebug	3.011s
ok  	internal/godebugs	36.455s
?   	internal/goexperiment	[no test files]
?   	internal/goos	[no test files]
?   	internal/goroot	[no test files]
ok  	internal/gover	0.010s
?   	internal/goversion	[no test files]
?   	internal/lazyregexp	[no test files]
?   	internal/lazytemplate	[no test files]
?   	internal/msan	[no test files]
?   	internal/nettrace	[no test files]
?   	internal/obscuretestdata	[no test files]
?   	internal/oserror	[no test files]
ok  	internal/pkgbits	0.025s
ok  	internal/platform	0.848s
ok  	internal/poll	0.473s
ok  	internal/profile	0.061s
?   	internal/profilerecord	[no test files]
?   	internal/race	[no test files]
ok  	internal/reflectlite	0.043s
ok  	internal/runtime/atomic	0.159s
ok  	internal/runtime/cgobench	0.062s [no tests to run]
ok  	internal/runtime/cgroup	0.638s
?   	internal/runtime/exithook	[no test files]
?   	internal/runtime/gc	[no test files]
?   	internal/runtime/gc/internal/gen	[no test files]
ok  	internal/runtime/gc/scan	0.367s
ok  	internal/runtime/maps	2.399s
ok  	internal/runtime/math	0.039s
?   	internal/runtime/pprof/label	[no test files]
?   	internal/runtime/startlinetest	[no test files]
ok  	internal/runtime/sys	0.015s
ok  	internal/runtime/syscall/linux	0.027s
ok  	internal/runtime/wasitest	0.029s
ok  	internal/saferio	0.491s
ok  	internal/singleflight	0.127s
ok  	internal/strconv	0.767s
?   	internal/stringslite	[no test files]
ok  	internal/sync	2.898s
ok  	internal/synctest	7.085s
?   	internal/syscall/execenv	[no test files]
ok  	internal/syscall/unix	0.060s
ok  	internal/sysinfo	0.059s
?   	internal/syslist	[no test files]
ok  	internal/testenv	1.425s
?   	internal/testerrors	[no test files]
?   	internal/testhash	[no test files]
?   	internal/testlog	[no test files]
?   	internal/testpty	[no test files]
ok  	internal/trace	94.682s
?   	internal/trace/internal/testgen	[no test files]
ok  	internal/trace/internal/tracev1	0.935s
?   	internal/trace/raw	[no test files]
ok  	internal/trace/testtrace	0.034s
ok  	internal/trace/tracev2	0.010s
?   	internal/trace/traceviewer	[no test files]
?   	internal/trace/traceviewer/format	[no test files]
?   	internal/trace/version	[no test files]
?   	internal/txtar	[no test files]
ok  	internal/types/errors	2.212s
ok  	internal/unsafeheader	0.079s
ok  	internal/xcoff	0.066s
ok  	internal/zstd	0.182s
ok  	io	0.059s
ok  	io/fs	2.150s
ok  	io/ioutil	0.038s
ok  	iter	0.040s
ok  	length	0.014s
?   	linkedlist	[no test files]
ok  	linq	0.021s
ok  	list	0.021s
ok  	log	0.047s
?   	log/internal	[no test files]
ok  	log/slog	0.093s
?   	log/slog/internal	[no test files]
ok  	log/slog/internal/benchmarks	0.021s
ok  	log/slog/internal/buffer	0.009s
ok  	log/syslog	1.267s
ok  	maps	0.045s
ok  	math	0.051s
ok  	math/big	32.105s
ok  	math/big/internal/asmgen	0.025s
ok  	math/bits	0.017s
ok  	math/cmplx	0.069s
ok  	math/rand	1.097s
ok  	math/rand/v2	1.337s
?   	maxheap	[no test files]
ok  	mime	0.055s
ok  	mime/multipart	4.579s
ok  	mime/quotedprintable	0.361s
?   	minheap	[no test files]
ok  	net	27.502s
ok  	net/http	40.643s
ok  	net/http/cgi	1.383s
ok  	net/http/cookiejar	0.165s
ok  	net/http/fcgi	0.255s
ok  	net/http/httptest	0.273s
ok  	net/http/httptrace	0.069s
ok  	net/http/httputil	2.959s
ok  	net/http/internal	0.771s
ok  	net/http/internal/ascii	0.044s
ok  	net/http/internal/http2	17.143s
?   	net/http/internal/httpcommon	[no test files]
?   	net/http/internal/httpsfv	[no test files]
?   	net/http/internal/testcert	[no test files]
ok  	net/http/pprof	4.196s
ok  	net/internal/cgotest	0.067s
ok  	net/internal/socktest	0.129s
ok  	net/mail	0.294s
ok  	net/netip	4.885s
ok  	net/rpc	0.245s
ok  	net/rpc/jsonrpc	0.110s
ok  	net/smtp	0.234s
ok  	net/textproto	0.144s
ok  	net/url	0.275s
ok  	os	11.041s
ok  	os/exec	1.451s
ok  	os/exec/internal/fdtest	0.031s
ok  	os/signal	6.294s
ok  	os/user	0.011s
ok  	path	0.006s
ok  	path/filepath	0.241s
?   	person	[no test files]
?   	personext	[no test files]
ok  	plugin	0.035s
?   	queue	[no test files]
ok  	reflect	3.895s
?   	reflect/internal/example1	[no test files]
?   	reflect/internal/example2	[no test files]
ok  	regexp	3.066s
ok  	regexp/syntax	4.625s
ok  	runtime	282.591s
ok  	runtime/cgo	0.041s
?   	runtime/coverage	[no test files]
ok  	runtime/debug	0.404s
ok  	runtime/metrics	0.034s
ok  	runtime/pprof	58.799s
?   	runtime/race	[no test files]
?   	runtime/race/internal/amd64v1	[no test files]
ok  	runtime/trace	6.925s
?   	set	[no test files]
ok  	slices	0.266s
ok  	sort	0.415s
?   	stack	[no test files]
ok  	strconv	1.048s
ok  	strings	0.248s
?   	structs	[no test files]
ok  	sync	1.493s
ok  	sync/atomic	5.968s
ok  	syscall	12.834s
ok  	testing	10.418s
ok  	testing/cryptotest	0.047s
ok  	testing/fstest	0.092s
?   	testing/internal/testdeps	[no test files]
ok  	testing/iotest	0.050s
ok  	testing/quick	0.174s
ok  	testing/slogtest	0.028s
ok  	testing/synctest	0.300s
ok  	text/scanner	0.040s
ok  	text/tabwriter	0.026s
ok  	text/template	0.118s
ok  	text/template/parse	0.062s
ok  	time	34.138s
?   	time/tzdata	[no test files]
?   	tree	[no test files]
ok  	unicode	0.058s
ok  	unicode/utf16	0.049s
ok  	unicode/utf8	0.065s
ok  	unique	2.144s
?   	unsafe	[no test files]
ok  	uuid	0.212s
ok  	weak	0.632s
ok  	cmd/addr2line	3.627s
ok  	cmd/api	3.024s
?   	cmd/asm	[no test files]
?   	cmd/asm/internal/arch	[no test files]
ok  	cmd/asm/internal/asm	5.228s
?   	cmd/asm/internal/flags	[no test files]
ok  	cmd/asm/internal/lex	0.318s
?   	cmd/buildid	[no test files]
?   	cmd/cgo	[no test files]
?   	cmd/cgo/internal/cgotest	[no test files]
ok  	cmd/cgo/internal/swig	0.122s
ok  	cmd/cgo/internal/test	5.460s
?   	cmd/cgo/internal/test/gcc68255	[no test files]
?   	cmd/cgo/internal/test/issue23555a	[no test files]
?   	cmd/cgo/internal/test/issue23555b	[no test files]
?   	cmd/cgo/internal/test/issue26213	[no test files]
?   	cmd/cgo/internal/test/issue26430	[no test files]
?   	cmd/cgo/internal/test/issue26743	[no test files]
?   	cmd/cgo/internal/test/issue27054	[no test files]
?   	cmd/cgo/internal/test/issue27340	[no test files]
?   	cmd/cgo/internal/test/issue29563	[no test files]
?   	cmd/cgo/internal/test/issue30527	[no test files]
?   	cmd/cgo/internal/test/issue41761a	[no test files]
?   	cmd/cgo/internal/test/issue43639	[no test files]
?   	cmd/cgo/internal/test/issue52611a	[no test files]
?   	cmd/cgo/internal/test/issue52611b	[no test files]
?   	cmd/cgo/internal/test/issue76861	[no test files]
?   	cmd/cgo/internal/test/issue8756	[no test files]
?   	cmd/cgo/internal/test/issue8828	[no test files]
?   	cmd/cgo/internal/test/issue9026	[no test files]
?   	cmd/cgo/internal/test/issue9400	[no test files]
?   	cmd/cgo/internal/test/issue9510a	[no test files]
?   	cmd/cgo/internal/test/issue9510b	[no test files]
ok  	cmd/cgo/internal/testcarchive	0.020s
ok  	cmd/cgo/internal/testcshared	0.038s
ok  	cmd/cgo/internal/testerrors	153.710s
ok  	cmd/cgo/internal/testfortran	11.962s
ok  	cmd/cgo/internal/testgodefs	7.223s
ok  	cmd/cgo/internal/testlife	8.154s
ok  	cmd/cgo/internal/testnocgo	0.027s
ok  	cmd/cgo/internal/testout	2.402s
ok  	cmd/cgo/internal/testplugin	0.030s
ok  	cmd/cgo/internal/testsanitizers	192.508s
ok  	cmd/cgo/internal/testshared	0.184s
ok  	cmd/cgo/internal/testso	15.531s
ok  	cmd/cgo/internal/teststdio	14.555s
ok  	cmd/cgo/internal/testtls	0.030s
ok  	cmd/compile	172.528s
?   	cmd/compile/internal/abi	[no test files]
ok  	cmd/compile/internal/abt	0.031s
ok  	cmd/compile/internal/amd64	42.533s
?   	cmd/compile/internal/arm	[no test files]
?   	cmd/compile/internal/arm64	[no test files]
ok  	cmd/compile/internal/base	0.047s
?   	cmd/compile/internal/bitvec	[no test files]
?   	cmd/compile/internal/bloop	[no test files]
ok  	cmd/compile/internal/compare	0.046s
?   	cmd/compile/internal/coverage	[no test files]
?   	cmd/compile/internal/deadlocals	[no test files]
ok  	cmd/compile/internal/devirtualize	0.065s
ok  	cmd/compile/internal/dwarfgen	2.677s
?   	cmd/compile/internal/escape	[no test files]
?   	cmd/compile/internal/gc	[no test files]
ok  	cmd/compile/internal/importer	9.769s
?   	cmd/compile/internal/inline	[no test files]
ok  	cmd/compile/internal/inline/inlheur	4.395s
?   	cmd/compile/internal/inline/interleaved	[no test files]
ok  	cmd/compile/internal/ir	0.049s
ok  	cmd/compile/internal/liveness	0.128s
ok  	cmd/compile/internal/logopt	2.852s
?   	cmd/compile/internal/loong64	[no test files]
ok  	cmd/compile/internal/loopvar	300.192s
?   	cmd/compile/internal/mips	[no test files]
?   	cmd/compile/internal/mips64	[no test files]
ok  	cmd/compile/internal/noder	0.080s
?   	cmd/compile/internal/objw	[no test files]
?   	cmd/compile/internal/pgoir	[no test files]
?   	cmd/compile/internal/pkginit	[no test files]
?   	cmd/compile/internal/ppc64	[no test files]
ok  	cmd/compile/internal/rangefunc	0.094s
ok  	cmd/compile/internal/reflectdata	0.125s [no tests to run]
?   	cmd/compile/internal/riscv64	[no test files]
?   	cmd/compile/internal/rttype	[no test files]
?   	cmd/compile/internal/s390x	[no test files]
?   	cmd/compile/internal/slice	[no test files]
ok  	cmd/compile/internal/ssa	304.709s
ok  	cmd/compile/internal/ssagen	0.039s
?   	cmd/compile/internal/staticdata	[no test files]
?   	cmd/compile/internal/staticinit	[no test files]
ok  	cmd/compile/internal/syntax	0.476s
ok  	cmd/compile/internal/test	209.877s
?   	cmd/compile/internal/typebits	[no test files]
ok  	cmd/compile/internal/typecheck	3.716s
ok  	cmd/compile/internal/types	0.028s
ok  	cmd/compile/internal/types2	58.080s
?   	cmd/compile/internal/walk	[no test files]
?   	cmd/compile/internal/wasm	[no test files]
?   	cmd/compile/internal/x86	[no test files]
ok  	cmd/covdata	0.201s
ok  	cmd/cover	19.810s
ok  	cmd/dist	0.104s
ok  	cmd/distpack	0.082s
?   	cmd/fix	[no test files]
ok  	cmd/go	226.105s
ok  	cmd/go/internal/auth	0.141s
?   	cmd/go/internal/base	[no test files]
?   	cmd/go/internal/bug	[no test files]
ok  	cmd/go/internal/cache	0.581s
?   	cmd/go/internal/cacheprog	[no test files]
ok  	cmd/go/internal/cfg	0.158s [no tests to run]
?   	cmd/go/internal/clean	[no test files]
?   	cmd/go/internal/cmdflag	[no test files]
ok  	cmd/go/internal/doc	1.711s
ok  	cmd/go/internal/envcmd	0.264s
ok  	cmd/go/internal/fips140	0.064s
?   	cmd/go/internal/fmtcmd	[no test files]
ok  	cmd/go/internal/fsys	0.234s
ok  	cmd/go/internal/generate	0.056s
ok  	cmd/go/internal/gover	0.067s
?   	cmd/go/internal/help	[no test files]
ok  	cmd/go/internal/imports	0.037s
?   	cmd/go/internal/list	[no test files]
ok  	cmd/go/internal/load	0.070s
